date,yhat,sentiment_score,event,impact
2024-10-03,118.79041149805784,0.0,No Event,None
2024-10-04,113.65087340228709,0.0,No Event,None
2024-10-05,103.0251926099466,0.5,Nature Fair in Electronic City,medium
2024-10-06,125.60975818761217,0.0,No Event,None
2024-10-07,104.08411089385847,0.0,No Event,None
2024-10-08,112.84498799524418,0.0,No Event,None
2024-10-09,122.99971134722902,0.5,Food Marathon at Cubbon Park,medium
2024-10-10,128.02773379804432,0.0,No Event,None
2024-10-11,122.62361780193791,1.0,Dussehra,high
2024-10-12,111.59848577022179,0.5,Art Expo near Bangalore Palace,medium
2024-10-13,133.66216402379627,0.0,Book Exhibit in MG Road,low
2024-10-14,111.51092466350454,-0.5,Book Fair at Whitefield,medium
2024-10-15,119.56101956513386,0.0,No Event,None
2024-10-16,128.94147418376588,1.0,Tech Rally in Indiranagar,high
2024-10-17,133.1549735153843,0.0,No Event,None
2024-10-18,126.92013342225295,0.0,No Event,None
2024-10-19,115.07221764363942,0.0,No Event,None
2024-10-20,136.3445440221807,0.0,No Event,None
2024-10-21,113.45550616574954,0.0,No Event,None
2024-10-22,120.84142625588188,0.0,No Event,None
2024-10-23,129.64872715264323,0.0,No Event,None
2024-10-24,133.39427496862294,0.0,No Event,None
2024-10-25,126.80720193759186,1.0,Film Drive near Bangalore Palace,high
2024-10-26,114.72928381509738,0.0,No Event,None
2024-10-27,135.89612612625066,0.0,Comedy Celebration at the Namma Metro Station,low
2024-10-28,113.02409280528872,0.0,No Event,None
2024-10-29,120.54319656024698,0.0,No Event,None
2024-10-30,129.5894389105737,0.0,No Event,None
2024-10-31,133.66544702210922,0.5,Wine Celebration at Lalbagh,medium
2024-11-01,127.482709367795,1.0,Karnataka Rajyotsava,high
2024-11-02,115.86247310619262,0.5,Wellness Drive near Bangalore Palace,medium
2024-11-03,137.51754291555594,0.0,No Event,None
2024-11-04,115.13989741753386,0.5,Dance Gala in Indiranagar,medium
2024-11-05,123.13432277337402,0.0,No Event,None
2024-11-06,132.61152987233578,0.0,Film Showcase at Cubbon Park,low
2024-11-07,137.04957954594946,0.0,No Event,None
2024-11-08,131.13689463692657,0.0,No Event,None
2024-11-09,119.67389878117974,0.0,No Event,None
2024-11-10,141.35549944350933,0.0,Tech Meetup at the Namma Metro Station,low
2024-11-11,118.8593106305345,0.5,Art Celebration in MG Road,medium
2024-11-12,126.57979625679758,1.0,Diwali,high
2024-11-13,135.62178463233585,0.0,No Event,None
2024-11-14,139.46216568938195,0.0,No Event,None
2024-11-15,132.79304049741648,0.0,No Event,None
2024-11-16,120.42335746804967,0.0,No Event,None
2024-11-17,141.06125134431153,0.0,No Event,None
2024-11-18,117.40198303554374,0.0,No Event,None
2024-11-19,123.8616679444767,0.0,No Event,None
2024-11-20,131.57025379631727,0.0,No Event,None
2024-11-21,134.03257372552847,0.0,No Event,None
2024-11-22,125.9707615195983,0.0,No Event,None
2024-11-23,112.22508350887225,0.0,No Event,None
2024-11-24,131.5354254685086,0.0,No Event,None
2024-11-25,106.62835641600913,1.0,Wine Meetup in Indiranagar,high
2024-11-26,111.94998166416468,0.0,Wine Meetup in Koramangala,low
2024-11-27,118.65807103278901,0.5,Dance Fair in Electronic City,medium
2024-11-28,120.28231234476094,0.0,Music Festival in Koramangala,low
2024-11-29,111.5660002468511,0.0,No Event,None
2024-11-30,97.36623609782137,0.0,No Event,None
2024-12-01,116.43489602348731,0.0,No Event,None
2024-12-02,91.50530470278788,0.0,No Event,None
2024-12-03,97.02483939280225,1.0,Music Night in Indiranagar,high
2024-12-04,104.14695835520052,0.0,Nature Ceremony in HSR Layout,low
2024-12-05,106.3915079117131,1.0,Tech Festival at Ulsoor Lake,high
2024-12-06,98.48661798382275,0.0,No Event,None
2024-12-07,85.26925735196224,0.0,No Event,None
2024-12-08,105.46669702218296,0.0,No Event,None
2024-12-09,81.78380655765278,0.0,No Event,None
2024-12-10,88.63639152395497,0.0,No Event,None
2024-12-11,97.14404663869874,0.0,No Event,None
2024-12-12,100.79135660373399,0.0,No Event,None
2024-12-13,94.2707301569137,0.0,No Event,None
2024-12-14,82.38391287104061,0.0,No Event,None
2024-12-15,103.8244006994542,0.0,No Event,None
2024-12-16,81.26565279884902,0.0,Cultural Expo in Indiranagar,low
2024-12-17,89.09528625026353,0.0,Innovation Ceremony at Ulsoor Lake,low
2024-12-18,98.40870325760852,0.0,No Event,None
2024-12-19,102.67096098820213,0.0,No Event,None
2024-12-20,96.56015059389239,0.0,Book Exhibit at the Namma Metro Station,low
2024-12-21,84.86931530249205,0.0,No Event,None
2024-12-22,106.28911774670546,0.0,Dance Fair in Koramangala,low
2024-12-23,83.49614738630613,0.0,Tech Tournament at the Namma Metro Station,low
2024-12-24,90.88704734740874,0.0,History Conference near Bangalore Palace,low
2024-12-25,99.57191245254774,1.0,Christmas Day,high
2024-12-26,103.03577426912872,0.0,No Event,None
2024-12-27,95.98144970548302,0.0,No Event,None
2024-12-28,83.23079709054814,0.0,No Event,None
2024-12-29,103.50660763926408,0.5,Cultural Ceremony at Ulsoor Lake,medium
2024-12-30,79.52004408241125,0.0,No Event,None
2024-12-31,85.7038293382798,0.0,Nature Tournament in HSR Layout,low
2025-01-01,93.20466252453943,0.5,Food Parade in Koramangala,medium
2025-01-02,95.54370493658344,0.0,No Event,None
2025-01-03,87.45843984711927,0.0,No Event,None
2025-01-04,73.80297716622017,0.0,No Event,None
2025-01-05,93.32905698543661,0.5,Art Celebration at the Namma Metro Station,medium
2025-01-06,68.77268820786895,0.0,No Event,None
2025-01-07,74.58664718167256,0.0,No Event,None
2025-01-08,81.9323326847798,0.0,No Event,None
2025-01-09,84.33983541345457,0.0,No Event,None
2025-01-10,76.54953740497909,0.0,Art Meetup in Koramangala,low
2025-01-11,63.412319733397446,0.0,No Event,None
2025-01-12,83.67063532255447,0.0,No Event,None
2025-01-13,60.045381347865664,0.0,Book Meetup at the Namma Metro Station,low
2025-01-14,66.96878990065417,0.0,No Event,None
2025-01-15,75.57682268854884,0.5,Craft Showcase at Lalbagh,medium
2025-01-16,79.36991330905832,0.0,No Event,None
2025-01-17,73.05535427281531,0.0,No Event,None
2025-01-18,61.4483857349686,0.0,No Event,None
2025-01-19,83.25421885866255,0.0,No Event,None
2025-01-20,61.15590248356916,0.0,No Event,None
2025-01-21,69.54822481398531,0.0,No Event,None
2025-01-22,79.53110851538486,0.0,No Event,None
2025-01-23,84.57131570605574,0.0,No Event,None
2025-01-24,79.34573404314301,0.5,Cultural Showcase at the Namma Metro Station,medium
2025-01-25,68.64327667189504,0.0,No Event,None
2025-01-26,91.14760721443467,-1.0,Republic Day,high
2025-01-27,69.52557976185562,0.0,No Event,None
2025-01-28,78.1615704126371,0.0,No Event,None
2025-01-29,88.15114752020328,0.0,No Event,None
2025-01-30,92.96289014853696,0.0,No Event,None
2025-01-31,87.28162336532337,0.0,No Event,None
2025-02-01,75.91010503300437,1.0,Book Exhibit in Indiranagar,high
2025-02-02,97.55138157292316,0.0,No Event,None
2025-02-03,74.89671316187564,0.0,No Event,None
2025-02-04,82.35925930481179,0.5,Music Drive at Jayanagar,medium
2025-02-05,91.06698982853581,0.0,No Event,None
2025-02-06,94.52365165679592,0.0,No Event,None
2025-02-07,87.45108324388558,0.0,Book Conference in Indiranagar,low
2025-02-08,74.68993631950667,0.0,No Event,None
2025-02-09,94.98104844924096,0.0,Wine Gala at Jayanagar,low
2025-02-10,71.05239323085112,0.0,No Event,None
2025-02-11,77.35182502535379,0.0,No Event,None
2025-02-12,85.03910811949589,1.0,History Celebration at Ulsoor Lake,high
2025-02-13,87.64608374676041,0.5,Cultural Festival in MG Road,medium
2025-02-14,79.91828751424852,0.0,No Event,None
2025-02-15,66.71509460638376,0.0,No Event,None
2025-02-16,86.7906505792398,0.0,No Event,None
2025-02-17,62.880525100412406,0.0,No Event,None
2025-02-18,69.43431203433914,0.0,Book Conference in Electronic City,low
2025-02-19,77.60766809789946,0.5,Tech Marathon at the Namma Metro Station,medium
2025-02-20,80.92264164161688,1.0,History Gala in MG Road,high
2025-02-21,74.10959812134658,0.0,No Event,None
2025-02-22,62.00780974652281,0.0,No Event,None
2025-02-23,83.3469536439197,0.0,No Event,None
2025-02-24,60.83443922520786,0.0,No Event,None
2025-02-25,68.8887688115579,0.0,Community Parade in MG Road,low
2025-02-26,78.63240225752281,0.0,No Event,None
2025-02-27,83.55295414291683,0.0,No Event,None
2025-02-28,78.34600624957369,0.0,Music Tournament at Ulsoor Lake,low
2025-03-01,67.81657877920114,1.0,Wine Drive at Ulsoor Lake,high
2025-03-02,90.66148109528967,1.0,Wellness Exhibit at the Namma Metro Station,high
2025-03-03,69.55744025665686,0.0,No Event,None
2025-03-04,78.8951907042321,0.0,Food Rally in HSR Layout,low
2025-03-05,89.77297744546829,1.0,Innovation Exhibit at Cubbon Park,high
2025-03-06,95.65828566926217,0.0,No Event,None
2025-03-07,91.23106704884418,1.0,Maha Shivaratri,high
2025-03-08,81.28549718840705,0.0,No Event,None
2025-03-09,104.51247967707842,0.0,No Event,None
2025-03-10,83.58779346048482,0.0,No Event,None
