ds,yhat,yhat_lower,yhat_upper
30-09-22,62.62447813,26.99414572,96.03589608
30-09-22,71.119186,36.90836878,106.1142403
01-10-22,74.50180135,41.8440084,111.8389861
02-10-22,67.49399081,32.97298989,103.1358262
03-10-22,54.92470315,21.1479604,90.26779587
04-10-22,75.46987448,39.67450972,113.6261232
05-10-22,51.95859911,19.32461862,86.32441763
06-10-22,58.72018737,24.55049244,95.26247044
07-10-22,66.93622529,30.24523477,99.79656762
08-10-22,70.13763598,36.18988598,104.8978391
09-10-22,63.05669908,27.12767907,98.54734602
09-10-22,50.5299421,13.03155879,81.70195558
10-10-22,71.23757426,38.33502917,107.1816369
11-10-22,48.0094812,9.464018617,82.10466795
12-10-22,55.17220798,24.37212438,90.04116847
13-10-22,63.90104875,29.43167951,100.5681126
14-10-22,67.71724279,34.38608066,103.2891279
15-10-22,61.34023066,25.59346336,96.21427299
16-10-22,49.5908781,13.54915228,86.39299442
17-10-22,71.13132961,36.23171154,103.3083152
18-10-22,48.77149841,15.31819392,84.20569809
19-10-22,56.81660639,22.86796131,90.6595887
19-10-22,66.41987667,30.72811497,102.9879969
20-10-22,71.08036119,37.01934748,104.7845197
21-10-22,65.49583871,29.50743197,100.1743169
22-10-22,54.4666722,20.83553937,86.37445841
23-10-22,76.63626885,40.28450679,111.5620653
24-10-22,54.79813137,18.96616578,89.56339686
25-10-22,63.24389754,29.36166019,98.73933942
26-10-22,73.1164551,41.34707964,108.4375386
27-10-22,77.90810178,42.54149124,114.0136221
28-10-22,72.31367518,37.04476702,106.1952732
29-10-22,61.13453382,27.75710709,94.62435944
29-10-22,83.01902826,46.71281549,118.0127793
30-10-22,60.76944951,23.3647656,93.06630638
31-10-22,68.68985395,32.58223706,104.0777088
01-11-22,77.93885717,42.55327164,112.4740434
02-11-22,82.0273749,47.49465451,117.7503833
03-11-22,75.67124736,41.39561058,110.4712105
04-11-22,63.69464235,31.46282979,99.66719852
05-11-22,84.76989199,49.15189407,119.7094305
06-11-22,61.72376876,24.78119576,95.29540794
07-11-22,68.8846188,34.35692687,102.0726485
07-11-22,77.43446508,42.00458227,113.1384903
08-11-22,80.90607858,45.69863436,115.2266884
09-11-22,74.03497308,39.34487179,108.7803226
10-11-22,61.66223763,27.22098969,96.63603339
11-11-22,82.47387829,50.30322813,117.256043
12-11-22,59.30668946,20.0929937,94.08258307
13-11-22,66.49508504,30.1078997,102.5757372
14-11-22,75.2230113,40.15635051,110.9935754
15-11-22,79.02094556,45.28886802,114.2993228
16-11-22,72.61793898,39.27444157,109.2702636
17-11-22,60.84461669,25.6120094,97.80292706
17-11-22,82.37280251,49.23338815,117.4388916
18-11-22,60.02178077,26.33094023,94.73998245
19-11-22,68.10561482,30.61752105,101.9693704
20-11-22,77.78563,43.13570756,114.0627784
21-11-22,82.56804925,49.62848248,116.3164511
22-11-22,77.15672126,43.11874944,111.5170782
23-11-22,66.35683457,33.10979375,99.26835266
24-11-22,88.81526432,52.76516361,123.2205061
25-11-22,67.32754318,33.25246628,101.4940133
26-11-22,76.18585517,39.85511701,111.8518716
27-11-22,86.53214052,50.50697457,121.7919232
27-11-22,91.85628136,59.3499621,127.9298893
28-11-22,86.84929176,52.11860966,122.6105162
29-11-22,76.30739196,43.1405673,112.1017417
30-11-22,98.8726024,67.16838328,136.5830184
01-12-22,77.33984169,43.39244382,114.1508777
02-12-22,86.00492294,53.63091494,121.4766539
03-12-22,96.01753643,60.63838913,132.242263
04-12-22,100.8791913,66.49717422,136.9352002
05-12-22,95.2960469,58.29758669,128.6875731
06-12-22,84.08252347,50.44252446,120.4901671
07-12-22,105.9013417,71.61531726,141.7460348
07-12-22,83.5699904,47.74002762,117.6203384
08-12-22,91.40803666,56.7001066,125.1886451
09-12-22,100.5893846,65.13211394,136.297134
10-12-22,104.6394786,67.92185253,138.1613727
11-12-22,98.28740199,62.09798332,135.4781966
12-12-22,86.36878415,50.53467362,118.7405241
13-12-22,107.5651851,72.27679062,140.0737745
14-12-22,84.70997819,51.8248481,119.9384462
15-12-22,92.13516097,54.58960163,127.8084976
16-12-22,101.0232183,66.38083751,140.3077945
16-12-22,104.9040435,70.72674136,137.0773304
17-12-22,98.50687958,63.74044755,131.7151283
18-12-22,86.66319773,53.22238473,121.2553582
19-12-22,108.0461842,71.82037687,143.0955955
20-12-22,85.47685464,47.94670405,121.4676781
21-12-22,93.27121924,57.78970327,127.9630187
22-12-22,102.5926137,67.44496751,138.476331
23-12-22,106.9491886,71.16300843,141.286326
24-12-22,101.0465031,66.45814193,135.8338967
25-12-22,89.69112131,53.64490863,123.6114997
26-12-22,111.5308629,78.11133617,145.4394274
26-12-22,89.36170292,51.67901668,121.9479039
27-12-22,97.4757228,64.75884103,134.1488169
28-12-22,107.0142035,73.28626404,139.3392547
29-12-22,111.4658307,76.55723024,146.6649798
30-12-22,105.519937,70.60322482,137.6770791
31-12-22,93.97065915,59.89280981,125.4787636
01-01-23,115.4576443,77.85017684,152.533457
02-01-23,92.77328672,56.61869273,127.2465124
03-01-23,100.210885,63.59304364,133.7420324
04-01-23,108.9178037,73.52903442,145.39981
05-01-23,112.3936058,76.76169082,150.2623608
05-01-23,105.3430812,71.58544816,139.4965397
06-01-23,92.58005425,56.77148321,127.3505936
07-01-23,112.7676134,78.56095522,148.1426409
08-01-23,88.72475551,54.69823503,122.6834141
09-01-23,94.77385197,60.0266633,130.1719372
10-01-23,102.0930383,67.66717231,136.1742004
11-01-23,104.2135157,70.13756462,139.7706867
12-01-23,95.87171241,61.57707402,131.8776401
13-01-23,81.91221254,47.69455844,116.4293697
14-01-23,101.0271196,64.51381062,133.4514444
15-01-23,76.06187345,38.70230474,113.7182489
15-01-23,81.36194989,45.49182929,114.1464756
16-01-23,88.1245685,52.24053982,121.0056336
17-01-23,89.89541608,54.9386288,127.1076555
18-01-23,81.42035144,47.4201595,119.8641389
19-01-23,67.5480129,33.7913673,101.345785
20-01-23,86.96900633,53.21463963,120.2309987
21-01-23,62.52169804,26.58485148,98.27687196
22-01-23,68.53904472,35.95718982,106.3955009
23-01-23,76.20058239,41.26017125,108.9944628
24-01-23,79.02957633,45.47094288,113.6908586
24-01-23,71.74528619,36.66718312,106.1750164
25-01-23,59.16625348,21.81570548,94.25628079
26-01-23,79.95027104,44.71917356,114.7343057
27-01-23,56.90103785,22.68126076,93.06697431
28-01-23,64.31590817,30.732929,101.2700804
29-01-23,73.33883172,39.67242549,109.2395747
30-01-23,77.45846065,42.3670569,114.2224915
31-01-23,71.36135141,34.90148555,105.8623492
01-02-23,59.83614216,24.36274055,95.40629067
02-02-23,81.51434102,48.21063629,115.2347742
03-02-23,59.17770509,25.80547854,92.93613419
03-02-23,67.10659898,34.34318229,102.818344
04-02-23,76.43341203,40.17643119,111.5846533
05-02-23,80.64099641,45.8604265,114.7614044
06-02-23,74.41604401,38.85919549,110.6681357
07-02-23,62.55327773,28.71548212,99.72254826
08-02-23,83.69609103,49.95392833,117.9317122
09-02-23,60.64361927,25.31567768,95.50310422
10-02-23,67.69863939,31.96706242,100.7356796
11-02-23,76.02038921,39.27846976,108.7586286
12-02-23,79.12228437,43.66871646,117.3881425
13-02-23,71.72447036,33.66879439,107.1323248
13-02-23,58.65710744,24.72271197,93.50855365
14-02-23,78.60004691,45.44947712,115.3242416
15-02-23,54.38890872,19.06382033,87.54871965
16-02-23,60.36198391,24.8320864,95.19852224
17-02-23,67.71208046,32.06278293,100.3086492
18-02-23,69.98331749,35.21380936,107.5692789
19-02-23,61.92283038,27.31662089,97.16879848
20-02-23,48.38330811,13.05436698,83.45214818
21-02-23,68.06204178,34.42492393,102.619221
22-02-23,43.80651167,8.75175135,78.5871221
23-02-23,49.96094995,15.62110131,86.12272454
23-02-23,57.71800719,22.14779511,90.80495344
24-02-23,60.61553244,24.64339925,93.50070839
25-02-23,53.38843029,17.96581255,88.81357191
26-02-23,40.87151196,7.58610286,77.62188269
27-02-23,61.73901117,24.87487516,96.26889796
28-02-23,38.8107793,2.256654636,74.45130085
01-03-23,46.39958066,14.30031843,83.08620786
02-03-23,55.66359593,19.83223886,86.22589424
03-03-23,60.10412104,24.24993432,95.02642747
04-03-23,54.41839972,20.61435311,88.82940085
04-03-23,43.40348057,7.715074379,79.91364584
05-03-23,65.69674178,30.57942753,100.1335502
06-03-23,44.08307115,7.719559494,79.59311294
07-03-23,52.84309514,16.01212957,89.84954813
08-03-23,63.10654029,30.07141425,97.71831077
09-03-23,68.35069087,33.17280116,106.1122765
10-03-23,63.25383391,30.3414813,98.97789393
11-03-23,52.5997006,21.50129878,87.36591643
12-03-23,75.01826341,39.55764446,109.1842504
13-03-23,53.29313795,18.29434423,90.74613408
14-03-23,61.70984343,26.13847252,95.85383142
14-03-23,71.40903155,38.14001105,106.5344912
15-03-23,75.88465193,41.77551366,110.0543796
16-03-23,69.83698062,35.37735748,105.0136193
17-03-23,58.07639798,23.67538614,91.54696183
18-03-23,79.26356202,41.62653595,115.4442566
19-03-23,56.21597508,22.59659259,92.0861265
20-03-23,63.25535512,27.66392176,97.58078025
21-03-23,71.5599186,33.87979516,106.8618802
22-03-23,74.66156864,38.29621386,109.1120926
23-03-23,67.29794143,32.78414272,102.3023584
24-03-23,54.3152231,16.53741586,89.54059595
24-03-23,74.40740902,41.66616994,109.4298534
25-03-23,50.42202718,14.78161281,82.62542176
26-03-23,56.70675891,22.90625434,92.56545522
27-03-23,64.46108321,32.11993182,100.3302538
28-03-23,67.23295453,31.84244233,102.3405591
29-03-23,59.77047914,23.8667956,96.22618184
30-03-23,46.92451118,11.44649165,83.12328064
31-03-23,67.38784459,33.00234929,101.5865915
01-04-23,44.0010227,10.56711426,78.74196424
02-04-23,51.09919511,16.33826039,86.02219459
03-04-23,59.86397226,23.61790176,92.38552878
03-04-23,63.82111374,29.63061069,100.2511823
04-04-23,57.69232484,23.07340562,91.71626449
05-04-23,46.29873979,12.91456006,81.38805841
06-04-23,68.30090962,33.22725838,103.4656935
07-04-23,46.50546192,9.886401183,80.4451382
08-04-23,55.21283815,20.9254215,90.95208343
09-04-23,65.57020297,28.9240172,99.26927951
10-04-23,71.06949953,35.99424389,105.6855091
11-04-23,66.40057803,28.99176222,102.4926101
12-04-23,56.35527866,23.40796298,90.1914625
12-04-23,79.56810511,45.41350823,113.1127421
13-04-23,58.82347114,25.50142502,94.75738839
14-04-23,68.40391213,34.53434699,102.9818161
15-04-23,79.44334477,46.93448915,112.315102
16-04-23,85.42534238,48.34049925,120.8381508
17-04-23,81.03634899,45.81177595,116.4541369
18-04-23,71.0697142,37.21217073,106.5500914
19-04-23,94.16618874,57.91520981,129.7438446
20-04-23,73.12087095,37.06879531,108.2903905
21-04-23,82.23100688,48.34457854,117.4090409
22-04-23,92.64874095,57.24865229,125.6186237
22-04-23,97.87880087,61.43617376,129.8396705
23-04-23,92.63105829,59.97759009,128.7133389
24-04-23,81.7238666,43.80649682,119.594094
25-04-23,103.8230156,68.4640906,136.9180177
26-04-23,81.75041835,46.53532363,115.5857215
27-04-23,89.82874396,53.67645807,124.125712
28-04-23,99.23432278,64.54652044,132.9786376
29-04-23,103.4942195,68.33920801,137.5111373
30-04-23,97.3382539,62.50380263,131.3549878
01-05-23,85.60188344,48.72848559,120.6084512
02-05-23,106.9656196,72.59522907,141.5946206
02-05-23,84.26099636,49.93425833,120.6860751
03-05-23,91.81751859,58.21324905,126.7038119
04-05-23,100.8147083,66.83295915,135.6106729
05-05-23,104.7792481,72.17720978,139.2085313
06-05-23,98.43717528,61.37238589,132.8825736
07-05-23,86.61703196,52.23105186,122.172348
08-05-23,107.9896343,74.27401108,143.3414251
09-05-23,85.37446496,49.38755145,117.7550717
10-05-23,93.0871026,59.05198202,124.666017
11-05-23,102.2917902,65.63716097,135.2604608
12-05-23,106.4991249,72.83875673,140.8598662
12-05-23,100.4188044,65.38569165,135.3012126
13-05-23,88.86332043,52.68540929,123.3941939
14-05-23,110.4882435,76.8914687,144.8531654
15-05-23,88.09908948,54.26712152,125.0071898
16-05-23,95.99916781,60.38235394,130.4473314
17-05-23,105.342501,71.22177547,140.0125207
18-05-23,109.6309992,75.1813215,144.5612278
19-05-23,103.569769,66.15212318,136.4521887
20-05-23,91.96854068,56.46563619,125.796447
21-05-23,113.4827593,79.74177289,147.9502367
21-05-23,90.92038016,55.07367503,128.3046008
22-05-23,98.58956356,66.04411267,135.4559158
23-05-23,107.6513646,72.32319168,143.4141855
24-05-23,111.6174016,78.4723346,147.538204
25-05-23,105.2024419,70.53705268,139.6442162
26-05-23,93.22780403,57.21886121,130.8770379
27-05-23,114.3612327,81.20920563,148.7156947
28-05-23,91.42325405,54.6318574,126.7619732
29-05-23,98.73442835,62.95411456,131.7803031
30-05-23,107.4676127,72.67407457,142.7542806
31-05-23,111.1452288,78.54612885,146.6020178
31-05-23,104.4914892,70.73054864,139.8220781
01-06-23,92.33549086,54.06780531,124.5905883
02-06-23,113.3508421,77.12648412,148.7880308
03-06-23,90.36183798,52.57054793,125.6890287
04-06-23,97.69060622,65.62587947,131.4758632
05-06-23,106.5093381,70.58705467,142.3671371
06-06-23,110.3376007,77.38371401,145.7655225
07-06-23,103.8946794,68.65888301,141.5990395
08-06-23,92.00285716,59.8394418,129.3596738
09-06-23,113.3272882,79.96462898,148.3814138
10-06-23,90.68247223,58.37805623,126.4174544
10-06-23,98.36866864,63.4190187,132.7472522
11-06-23,107.5577164,74.93225066,144.1321381
12-06-23,111.7575167,77.85545499,146.012975
13-06-23,105.6758419,71.40689207,138.4853285
14-06-23,94.12399756,60.74598196,129.6208844
15-06-23,115.7570595,83.29851244,151.3801828
16-06-23,93.38067642,59.51293496,125.9951121
17-06-23,101.298841,68.35049047,139.9774037
18-06-23,110.6667233,75.6489245,146.0570448
19-06-23,114.9885405,80.42341078,152.514241
20-06-23,108.9703961,73.60269732,142.8999004
20-06-23,97.42397667,62.47933807,133.5851335
21-06-23,119.0067507,81.18612391,154.9990314
22-06-23,96.52866608,60.81238309,131.7320267
23-06-23,104.2997503,70.37046765,139.5566489
24-06-23,113.4827128,77.39241259,148.7839549
25-06-23,117.5905336,83.37664839,154.2782598
26-06-23,111.3389785,75.87483856,145.1520305
27-06-23,99.54994113,64.18815593,135.9822628
28-06-23,120.891269,85.62965433,154.0209063
29-06-23,98.18308073,62.76747129,132.4050932
29-06-23,105.7449931,71.86695597,142.4307923
30-06-23,114.7483695,78.77590157,148.7384881
01-07-23,118.7135853,83.91252891,152.5396185
02-07-23,112.3622631,77.98361709,147.5219529
03-07-23,100.4995931,65.82086669,135.7374497
04-07-23,121.8163668,85.29876338,158.5150706
05-07-23,99.13281464,61.43634001,135.1281994
06-07-23,106.7665926,73.38798245,139.7393807
07-07-23,115.8850684,79.93094448,152.7269239
08-07-23,120.0026961,86.02760432,154.3173481
09-07-23,113.8334279,79.88640833,149.0376521
09-07-23,102.1940663,67.41753788,137.7978597
10-07-23,123.7442154,88.23252501,158.5267794
11-07-23,101.2928357,67.89868466,137.0898431
12-07-23,109.1458133,76.41381684,145.5980255
13-07-23,118.4586451,83.21653883,154.4856236
14-07-23,122.7342224,87.40715364,158.1104576
15-07-23,116.6756481,84.24948228,154.996967
16-07-23,105.0899788,71.02631205,140.6248803
17-07-23,126.6285363,90.80711867,165.76726
18-07-23,104.0937813,70.53934864,136.9529509
19-07-23,111.787149,78.809035,148.1889352
19-07-23,120.8619396,82.48320505,150.3664147
20-07-23,124.8212382,89.31273023,159.1264966
21-07-23,118.3707928,82.07091175,151.2851006
22-07-23,106.3227414,71.09988537,141.6407723
23-07-23,127.3358293,92.6375247,161.9225606
24-07-23,104.2221128,69.34019675,141.0871812
25-07-23,111.2945536,75.58592258,147.6228165
26-07-23,119.6961036,83.52323264,154.1330063
27-07-23,122.9677557,89.15051907,156.0122232
28-07-23,115.8305193,82.30116901,153.0617015
29-07-23,103.1122011,70.3583909,140.7046641
29-07-23,123.4871603,91.00402571,158.2354236
30-07-23,99.78254277,61.01976337,134.8131542
31-07-23,106.3254141,69.94327017,141.7942222
01-08-23,114.2949054,79.57386069,146.9707877
02-08-23,117.2193673,81.58657964,149.9499336
03-08-23,109.8284885,75.05531919,142.6751197
04-08-23,96.95628771,61.30315092,133.3123064
05-08-23,117.2806488,81.92656457,153.7186174
06-08-23,93.62941347,56.14670152,130.129338
07-08-23,100.3274567,67.37656258,136.6268132
07-08-23,108.5488614,72.14458445,142.9062923
08-08-23,111.8141884,78.81966381,145.3064592
09-08-23,104.8427949,69.01381377,139.7654046
10-08-23,92.45610596,57.24858752,129.4248697
11-08-23,113.3175006,78.10428342,150.0785859
12-08-23,90.23881732,55.72041069,124.9690393
13-08-23,97.52789266,64.47979025,132.8926439
14-08-23,106.341235,71.07324048,141.6097038
15-08-23,110.1818161,73.56255853,146.7474291
16-08-23,103.7519167,68.23523574,135.2444934
17-08-23,91.85691618,57.1951934,129.2225735
17-08-23,113.1230812,79.29368276,148.8088293
18-08-23,90.37229117,56.44914852,125.8383417
19-08-23,97.90220613,64.01428603,132.2942275
20-08-23,106.861859,72.72888495,142.097786
21-08-23,110.7496992,75.69425862,144.7341126
22-08-23,104.2666034,68.69552689,137.5999576
23-08-23,92.21973815,58.9647158,126.7392095
24-08-23,113.2629156,79.60102993,149.7544382
25-08-23,90.20343235,54.845288,124.7242412
26-08-23,97.34979362,63.05785994,131.3182791
27-08-23,105.864417,70.08340626,140.0896874
27-08-23,109.2612964,71.43411523,143.2812495
28-08-23,102.2585643,69.72503988,135.6983957
29-08-23,89.68184945,55.92485421,125.1416493
