hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,0,342,2022,August,27,2,0,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,3,No Deposit,,,0,Transient,0,0,0,Check-Out,01-07-15
Resort Hotel,0,737,2022,August,27,2,0,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,4,No Deposit,,,0,Transient,0,0,0,Check-Out,01-07-15
Resort Hotel,0,7,2022,August,27,2,0,1,1,0,0,BB,GBR,Direct,Direct,0,0,0,A,C,0,No Deposit,,,0,Transient,75,0,0,Check-Out,02-07-15
Resort Hotel,0,13,2022,August,27,2,0,1,1,0,0,BB,GBR,Corporate,Corporate,0,0,0,A,A,0,No Deposit,304,,0,Transient,75,0,0,Check-Out,02-07-15
Resort Hotel,0,14,2022,August,27,2,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,98,0,1,Check-Out,03-07-15
Resort Hotel,0,14,2022,August,27,2,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,98,0,1,Check-Out,03-07-15
Resort Hotel,0,0,2022,August,27,2,0,2,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,,,0,Transient,107,0,0,Check-Out,03-07-15
Resort Hotel,0,9,2022,August,27,2,0,2,2,0,0,FB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,303,,0,Transient,103,0,1,Check-Out,03-07-15
Resort Hotel,1,85,2022,August,27,2,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,82,0,1,Canceled,06-05-15
Resort Hotel,1,75,2022,August,27,2,0,3,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15,,0,Transient,105.5,0,0,Canceled,22-04-15
Resort Hotel,1,23,2022,August,27,2,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,123,0,0,Canceled,23-06-15
Resort Hotel,0,35,2022,August,27,2,0,4,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,145,0,0,Check-Out,05-07-15
Resort Hotel,0,68,2022,August,27,2,0,4,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,,0,Transient,97,0,3,Check-Out,05-07-15
Resort Hotel,0,18,2022,August,27,2,0,4,2,1,0,HB,ESP,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,241,,0,Transient,154.77,0,1,Check-Out,05-07-15
Resort Hotel,0,37,2022,August,27,2,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241,,0,Transient,94.71,0,0,Check-Out,05-07-15
Resort Hotel,0,68,2022,August,27,2,0,4,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,,0,Transient,97,0,3,Check-Out,05-07-15
Resort Hotel,0,37,2022,August,27,2,0,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,8,,0,Contract,97.5,0,0,Check-Out,05-07-15
Resort Hotel,0,12,2022,August,27,2,0,1,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240,,0,Transient,88.2,0,0,Check-Out,02-07-15
Resort Hotel,0,0,2022,August,27,2,0,1,2,0,0,BB,FRA,Corporate,Corporate,0,0,0,A,G,0,No Deposit,,110,0,Transient,107.42,0,0,Check-Out,02-07-15
Resort Hotel,0,7,2022,August,27,2,0,4,2,0,0,BB,GBR,Direct,Direct,0,0,0,G,G,0,No Deposit,250,,0,Transient,153,0,1,Check-Out,05-07-15
Resort Hotel,0,37,2022,August,27,2,1,4,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241,,0,Transient,97.29,0,1,Check-Out,06-07-15
Resort Hotel,0,72,2022,August,27,2,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,250,,0,Transient,84.67,0,1,Check-Out,07-07-15
Resort Hotel,0,72,2022,August,27,2,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,250,,0,Transient,84.67,0,1,Check-Out,07-07-15
Resort Hotel,0,72,2022,August,27,2,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,250,,0,Transient,99.67,0,1,Check-Out,07-07-15
Resort Hotel,0,127,2022,August,27,2,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,I,0,No Deposit,115,,0,Contract,94.95,0,1,Check-Out,01-07-15
Resort Hotel,0,78,2022,August,27,2,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5,,0,Transient,63.6,1,0,Check-Out,08-07-15
Resort Hotel,0,48,2022,August,27,2,2,5,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,,0,Contract,79.5,0,0,Check-Out,08-07-15
Resort Hotel,1,60,2022,August,27,2,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,107,0,2,Canceled,11-05-15
