date,sentiment_score
2024-09-15,1
2024-09-17,0
2024-09-18,0.5
2024-09-19,1
2024-09-24,1
2024-09-27,1
2024-10-01,0
2024-10-02,1
2024-10-05,0.5
2024-10-09,0.5
2024-10-11,1
2024-10-12,0.5
2024-10-13,0
2024-10-14,-0.5
2024-10-16,1
2024-10-25,1
2024-10-27,0
2024-10-31,0.5
2024-11-01,1
2024-11-02,0.5
2024-11-04,0.5
2024-11-06,0
2024-11-10,0
2024-11-11,0.5
2024-11-12,1
2024-11-25,1
2024-11-26,0
2024-11-27,0.5
2024-11-28,0
2024-12-03,1
2024-12-04,0
2024-12-05,1
2024-12-16,0
2024-12-17,0
2024-12-20,0
2024-12-22,0
2024-12-23,0
2024-12-24,0
2024-12-25,1
2024-12-29,0.5
2024-12-31,0
2025-01-01,0.5
2025-01-05,0.5
2025-01-10,0
2025-01-13,0
2025-01-15,0.5
2025-01-24,0.5
2025-01-26,-1
2025-02-01,1
2025-02-04,0.5
2025-02-07,0
2025-02-09,0
2025-02-12,1
2025-02-13,0.5
2025-02-18,0
2025-02-19,0.5
2025-02-20,1
2025-02-25,0
2025-02-28,0
2025-03-01,1
2025-03-02,1
2025-03-04,0
2025-03-05,1
2025-03-07,1
2025-03-11,0
2025-03-14,0.5
2025-03-18,1
2025-03-20,0.5
2025-03-24,0.5
2025-03-27,0
2025-03-30,1
2025-04-01,0.5
2025-04-02,0.5
2025-04-03,0.5
2025-04-04,0.5
2025-04-05,0.5
2025-04-06,0.5
2025-04-07,0.5
2025-04-08,0.5
2025-04-09,0.5
2025-04-10,0.5
2025-04-11,0.5
2025-04-12,0.5
2025-04-13,0.5
2025-04-14,0.5
2025-04-15,0.5
2025-04-16,0.5
2025-04-17,0.5
2025-04-18,-0.5
2025-04-19,0.5
2025-04-20,0.5
2025-04-21,0.5
2025-04-22,0.5
2025-04-23,0.5
2025-04-24,0.5
2025-04-25,0.5
2025-04-26,0.5
2025-04-27,0.5
2025-04-28,0.5
2025-04-29,0.5
2025-04-30,0.5
2025-05-01,0.5
2025-05-02,0.5
2025-05-03,0.5
2025-05-04,0.5
2025-05-05,0.5
2025-05-06,0.5
2025-05-07,0.5
2025-05-08,0.5
2025-05-09,0.5
2025-05-10,0.5
2025-05-11,0.5
2025-05-12,0.5
2025-05-13,0.5
2025-05-14,0.5
2025-05-15,0.5
2025-05-16,0.5
2025-05-17,0.5
2025-05-18,0.5
2025-05-19,0.5
2025-05-20,0.5
2025-05-21,0.5
2025-05-22,0.5
2025-05-23,0.5
2025-05-24,0.5
2025-05-25,0.5
2025-05-26,0.5
2025-05-27,0.5
2025-05-28,0.5
2025-05-29,0.5
2025-05-30,0.5
2025-05-31,0.5
2025-06-09,-1
2025-06-10,1
2025-06-15,1
2025-06-16,0
2025-06-17,0.5
2025-06-18,0.5
2025-06-20,0.5
2025-06-22,0
2025-06-30,1
2025-07-05,1
2025-07-07,0.5
2025-07-09,0.5
2025-07-11,0
2025-07-16,1
2025-07-18,0.5
2025-07-19,0.5
2025-07-20,0.5
2025-07-24,1
2025-07-27,0.5
2025-07-29,0
2025-08-01,0
2025-08-02,0.5
2025-08-05,1
2025-08-13,0.5
2025-08-15,1
2025-08-16,0.5
2025-08-19,0.5
2025-08-20,0.5
2025-08-26,0.5
2025-08-28,0
2025-08-29,1
2025-08-30,1
2025-08-31,0.5
2025-09-01,0.5
2025-09-06,1
2025-09-08,1
2025-09-10,0
2025-09-13,0.5
