date,yhat,sentiment_score,event,impact
2015-07-01,62.62447813435552,0.0,No Event,None
2015-07-02,71.11918599884042,0.0,No Event,None
2015-07-03,74.5018013507368,0.0,No Event,None
2015-07-04,67.49399081348275,0.0,No Event,None
2015-07-05,54.924703152130576,0.0,No Event,None
2015-07-06,75.46987447751323,0.0,No Event,None
2015-07-07,51.958599111328994,0.0,No Event,None
2015-07-08,58.72018737317369,0.0,No Event,None
2015-07-09,66.93622529106666,0.0,No Event,None
2015-07-10,70.13763597889053,0.0,No Event,None
2015-07-11,63.05669908156921,0.0,No Event,None
2015-07-12,50.529942102848366,0.0,No Event,None
2015-07-13,71.23757426166051,0.0,No Event,None
2015-07-14,48.009481195257536,0.0,No Event,None
2015-07-15,55.17220798271458,0.0,No Event,None
2015-07-16,63.901048751223634,0.0,No Event,None
2015-07-17,67.71724279048239,0.0,No Event,None
2015-07-18,61.34023065506028,0.0,No Event,None
2015-07-19,49.590878097056816,0.0,No Event,None
2015-07-20,71.131329613631,0.0,No Event,None
2015-07-21,48.771498409001794,0.0,No Event,None
2015-07-22,56.81660639105412,0.0,No Event,None
2015-07-23,66.41987666886514,0.0,No Event,None
2015-07-24,71.08036118850931,0.0,No Event,None
2015-07-25,65.49583870559741,0.0,No Event,None
2015-07-26,54.466672196246975,0.0,No Event,None
2015-07-27,76.63626884589007,0.0,No Event,None
2015-07-28,54.79813137492775,0.0,No Event,None
2015-07-29,63.24389754443382,0.0,No Event,None
2015-07-30,73.11645509614493,0.0,No Event,None
2015-07-31,77.9081017787421,0.0,No Event,None
2015-08-01,72.31367517535625,0.0,No Event,None
2015-08-02,61.13453382373832,0.0,No Event,None
2015-08-03,83.01902825594799,0.0,No Event,None
2015-08-04,60.76944950644975,0.0,No Event,None
2015-08-05,68.68985395296414,0.0,No Event,None
2015-08-06,77.93885716522853,0.0,No Event,None
2015-08-07,82.02737489566545,0.0,No Event,None
2015-08-08,75.6712473629115,0.0,No Event,None
2015-08-09,63.69464234992143,0.0,No Event,None
2015-08-10,84.76989198787228,0.0,No Event,None
2015-08-11,61.72376875871458,0.0,No Event,None
2015-08-12,68.88461880040909,0.0,No Event,None
2015-08-13,77.43446508251645,0.0,No Event,None
2015-08-14,80.90607857710135,0.0,No Event,None
2015-08-15,74.03497307752775,0.0,No Event,None
2015-08-16,61.66223763186717,0.0,No Event,None
2015-08-17,82.47387829478623,0.0,No Event,None
2015-08-18,59.30668946120368,0.0,No Event,None
2015-08-19,66.49508504163988,0.0,No Event,None
2015-08-20,75.2230113047354,0.0,No Event,None
2015-08-21,79.02094556010715,0.0,No Event,None
2015-08-22,72.61793897607555,0.0,No Event,None
2015-08-23,60.844616691994375,0.0,No Event,None
2015-08-24,82.37280250615237,0.0,No Event,None
2015-08-25,60.02178077071284,0.0,No Event,None
2015-08-26,68.10561481913525,0.0,No Event,None
2015-08-27,77.78563000038368,0.0,No Event,None
2015-08-28,82.56804925336294,0.0,No Event,None
2015-08-29,77.15672126406254,0.0,No Event,None
2015-08-30,66.3568345720143,0.0,No Event,None
2015-08-31,88.81526431791336,0.0,No Event,None
2015-09-01,67.3275431801253,0.0,No Event,None
2015-09-02,76.18585516686619,0.0,No Event,None
2015-09-03,86.53214052188335,0.0,No Event,None
2015-09-04,91.85628135711045,0.0,No Event,None
2015-09-05,86.84929175945406,0.0,No Event,None
2015-09-06,76.30739195966142,0.0,No Event,None
2015-09-07,98.8726024036451,0.0,No Event,None
2015-09-08,77.33984168819029,0.0,No Event,None
2015-09-09,86.00492293838026,0.0,No Event,None
2015-09-10,96.01753643383589,0.0,No Event,None
2015-09-11,100.87919131104474,0.0,No Event,None
2015-09-12,95.29604689751592,0.0,No Event,None
2015-09-13,84.08252347453161,0.0,No Event,None
2015-09-14,105.90134165106323,0.0,No Event,None
2015-09-15,83.5699903950382,0.0,No Event,None
2015-09-16,91.40803666203212,0.0,No Event,None
2015-09-17,100.58938463889092,0.0,No Event,None
2015-09-18,104.63947860569655,0.0,No Event,None
2015-09-19,98.28740199107416,0.0,No Event,None
2015-09-20,86.36878414785227,0.0,No Event,None
2015-09-21,107.5651851214278,0.0,No Event,None
2015-09-22,84.7099781949986,0.0,No Event,None
2015-09-23,92.1351609705588,0.0,No Event,None
2015-09-24,101.02321827527774,0.0,No Event,None
2015-09-25,104.9040434535139,0.0,No Event,None
2015-09-26,98.50687958468788,0.0,No Event,None
2015-09-27,86.66319773484082,0.0,No Event,None
2015-09-28,108.04618423406714,0.0,No Event,None
2015-09-29,85.47685464395973,0.0,No Event,None
2015-09-30,93.27121924146805,0.0,No Event,None
2015-10-01,102.59261371234044,0.0,No Event,None
2015-10-02,106.94918861262114,0.0,No Event,None
2015-10-03,101.04650308837816,0.0,No Event,None
2015-10-04,89.69112131403645,0.0,No Event,None
2015-10-05,111.5308629268183,0.0,No Event,None
2015-10-06,89.36170292184349,0.0,No Event,None
2015-10-07,97.47572280217766,0.0,No Event,None
2015-10-08,107.01420346249908,0.0,No Event,None
2015-10-09,111.46583065647737,0.0,No Event,None
2015-10-10,105.51993698968172,0.0,No Event,None
2015-10-11,93.97065915446645,0.0,No Event,None
2015-10-12,115.45764432488744,0.0,No Event,None
2015-10-13,92.77328671972614,0.0,No Event,None
2015-10-14,100.21088502587942,0.0,No Event,None
2015-10-15,108.9178037466856,0.0,No Event,None
2015-10-16,112.39360584277094,0.0,No Event,None
2015-10-17,105.34308119301063,0.0,No Event,None
2015-10-18,92.58005424531252,0.0,No Event,None
2015-10-19,112.767613398809,0.0,No Event,None
2015-10-20,88.72475550586464,0.0,No Event,None
2015-10-21,94.77385197082911,0.0,No Event,None
2015-10-22,102.0930382959109,0.0,No Event,None
2015-10-23,104.21351569241996,0.0,No Event,None
2015-10-24,95.8717124137041,0.0,No Event,None
2015-10-25,81.91221253792635,0.0,No Event,None
2015-10-26,101.0271196380333,0.0,No Event,None
2015-10-27,76.06187345375272,0.0,No Event,None
2015-10-28,81.36194989323165,0.0,No Event,None
2015-10-29,88.12456850006247,0.0,No Event,None
2015-10-30,89.89541608204533,0.0,No Event,None
2015-10-31,81.42035143881904,0.0,No Event,None
2015-11-01,67.54801289564926,0.0,No Event,None
2015-11-02,86.96900633239055,0.0,No Event,None
2015-11-03,62.521698041573146,0.0,No Event,None
2015-11-04,68.53904472054361,0.0,No Event,None
2015-11-05,76.20058239259129,0.0,No Event,None
2015-11-06,79.02957632685194,0.0,No Event,None
2015-11-07,71.74528618740433,0.0,No Event,None
2015-11-08,59.16625348162276,0.0,No Event,None
2015-11-09,79.95027103964436,0.0,No Event,None
2015-11-10,56.9010378458362,0.0,No Event,None
2015-11-11,64.31590817321886,0.0,No Event,None
2015-11-12,73.33883171581788,0.0,No Event,None
2015-11-13,77.45846065475337,0.0,No Event,None
2015-11-14,71.36135140600896,0.0,No Event,None
2015-11-15,59.8361421596205,0.0,No Event,None
2015-11-16,81.51434101773822,0.0,No Event,None
2015-11-17,59.177705085995726,0.0,No Event,None
2015-11-18,67.10659897651047,0.0,No Event,None
2015-11-19,76.43341203193279,0.0,No Event,None
2015-11-20,80.64099641351929,0.0,No Event,None
2015-11-21,74.4160440061321,0.0,No Event,None
2015-11-22,62.553277734050624,0.0,No Event,None
2015-11-23,83.69609103338173,0.0,No Event,None
2015-11-24,60.64361926695062,0.0,No Event,None
2015-11-25,67.69863938680619,0.0,No Event,None
2015-11-26,76.02038920739608,0.0,No Event,None
2015-11-27,79.12228437324633,0.0,No Event,None
2015-11-28,71.72447036314841,0.0,No Event,None
2015-11-29,58.657107439955965,0.0,No Event,None
2015-11-30,78.6000469103035,0.0,No Event,None
2015-12-01,54.38890872013791,0.0,No Event,None
2015-12-02,60.36198390642456,0.0,No Event,None
2015-12-03,67.71208045694387,0.0,No Event,None
2015-12-04,69.98331748741377,0.0,No Event,None
2015-12-05,61.9228303791412,0.0,No Event,None
2015-12-06,48.38330811298603,0.0,No Event,None
2015-12-07,68.06204178103117,0.0,No Event,None
2015-12-08,43.80651166591693,0.0,No Event,None
2015-12-09,49.960949948424776,0.0,No Event,None
2015-12-10,57.718007187087295,0.0,No Event,None
2015-12-11,60.61553244064268,0.0,No Event,None
2015-12-12,53.3884302875427,0.0,No Event,None
2015-12-13,40.87151196406436,0.0,No Event,None
2015-12-14,61.739011171785926,0.0,No Event,None
2015-12-15,38.81077930381106,0.0,No Event,None
2015-12-16,46.399580663147546,0.0,No Event,None
2015-12-17,55.66359593208495,0.0,No Event,None
2015-12-18,60.10412103740746,0.0,No Event,None
2015-12-19,54.41839972047767,0.0,No Event,None
2015-12-20,43.40348056728272,0.0,No Event,None
2015-12-21,65.69674178221973,0.0,No Event,None
2015-12-22,44.08307114800485,0.0,No Event,None
2015-12-23,52.843095139821926,0.0,No Event,None
2015-12-24,63.106540285983925,0.0,No Event,None
2015-12-25,68.35069087232237,0.0,No Event,None
2015-12-26,63.25383390844563,0.0,No Event,None
2015-12-27,52.59970060328537,0.0,No Event,None
2015-12-28,75.01826341281992,0.0,No Event,None
2015-12-29,53.29313794908676,0.0,No Event,None
2015-12-30,61.70984343411332,0.0,No Event,None
2015-12-31,71.40903155472465,0.0,No Event,None
2016-01-01,75.8846519280145,0.0,No Event,None
2016-01-02,69.83698062209065,0.0,No Event,None
2016-01-03,58.07639798466422,0.0,No Event,None
2016-01-04,79.26356202271855,0.0,No Event,None
2016-01-05,56.21597508044333,0.0,No Event,None
2016-01-06,63.25535512473108,0.0,No Event,None
2016-01-07,71.55991859672476,0.0,No Event,None
2016-01-08,74.66156863904509,0.0,No Event,None
2016-01-09,67.29794142661373,0.0,No Event,None
2016-01-10,54.315223098772805,0.0,No Event,None
2016-01-11,74.40740902487207,0.0,No Event,None
2016-01-12,50.42202718448298,0.0,No Event,None
2016-01-13,56.70675891151751,0.0,No Event,None
2016-01-14,64.46108321256168,0.0,No Event,None
2016-01-15,67.23295453031461,0.0,No Event,None
2016-01-16,59.7704791357862,0.0,No Event,None
2016-01-17,46.924511184385935,0.0,No Event,None
2016-01-18,67.3878445869098,0.0,No Event,None
2016-01-19,44.001022696964334,0.0,No Event,None
2016-01-20,51.09919511103445,0.0,No Event,None
2016-01-21,59.86397225717025,0.0,No Event,None
2016-01-22,63.821113741286325,0.0,No Event,None
2016-01-23,57.69232484449818,0.0,No Event,None
2016-01-24,46.29873979243808,0.0,No Event,None
